Q	#up	#dn	#all
F_681	8	8	8
F_682	4	4	4
F_683	8	8	8
F_684	8	8	8
F_685	4	4	4
F_686	4	4	4
F_687	12	12	12
F_688	12	12	12
F_689	4	4	4
F_690	12	12	12
F_691	12	12	12
F_692	12	12	12
F_693	12	12	12
F_694	8	8	8
F_695	12	12	12
F_696	2	2	2
F_697	4	4	4
F_698	4	4	4
F_699	12	12	12
F_700	6	6	6
F_701	8	8	8
F_702	8	8	8
F_703	4	4	4
F_704	4	4	4
F_705	8	8	8
F_706	8	8	8
F_707	8	8	8
F_708	4	4	4
F_709	8	8	8
F_710	8	8	8
F_711	8	8	8
F_712	4	4	4
F_713	4	4	4
F_714	8	8	8
F_715	8	8	8
F_716	8	8	8
F_717	8	8	8
F_718	4	4	4
F_719	8	8	8
F_720	4	4	4
F_721	8	8	8
F_722	8	8	8
F_723	4	4	4
F_724	8	8	8
F_725	8	8	8
F_726	8	8	8
F_727	4	4	4
F_728	4	4	4
F_729	8	8	8
F_730	8	8	8
F_731	4	4	4
F_732	4	4	4
F_733	8	8	8
F_734	8	8	8
F_735	12	12	12
F_736	12	12	12
F_737	4	4	4
F_738	8	8	8
F_739	12	12	12
F_740	4	4	4
F_741	8	8	8
F_742	12	12	12
F_743	4	4	4
F_744	8	8	8
F_745	12	12	12
F_746	4	4	4
F_747	8	8	8
F_748	12	12	12
F_749	4	4	4
F_750	4	4	4
F_751	8	8	8
F_752	8	8	8
F_753	12	12	12
F_754	12	12	12
F_755	4	4	4
F_756	4	4	4
F_757	8	8	8
F_758	8	8	8
F_759	12	12	12
F_760	12	12	12
F_761	8	8	8
F_762	8	8	8
F_763	4	4	4
F_764	12	12	12
F_765	4	4	4
F_766	4	4	4
F_767	8	8	8
F_768	8	8	8
F_769	8	8	8
F_770	8	8	8
F_771	8	8	8
F_772	8	8	8
F_773	8	8	8
F_774	8	8	8
F_775	8	8	8
F_776	8	8	8
F_777	8	8	8
F_778	8	8	8
F_779	8	8	8
F_780	8	8	8
F_781	8	8	8
F_782	8	8	8
F_783	8	8	8
F_784	8	8	8
F_785	8	8	8
F_786	8	8	8
F_787	8	8	8
F_788	8	8	8
F_789	8	8	8
F_790	8	8	8
F_791	8	8	8
F_792	8	8	8
F_793	8	8	8
F_794	8	8	8
F_795	8	8	8
F_796	8	8	8
F_797	8	8	8
F_798	8	8	8
F_799	8	8	8
F_800	8	8	8
F_801	8	8	8
F_802	8	8	8
F_803	8	8	8
F_804	8	8	8
F_805	8	8	8
F_806	8	8	8
F_807	16	16	16
F_808	16	16	16
F_809	4	4	4
F_810	8	8	8
F_811	4	4	4
F_812	2	2	2
F_813	12	12	12
F_814	6	6	6
F_815	4	4	4
F_816	4	4	4
F_817	8	8	8
F_818	8	8	8
F_819	4	4	4
F_820	4	4	4
F_821	8	8	8
F_822	8	8	8
F_823	4	4	4
F_824	8	8	8
F_825	8	8	8
F_826	4	4	4
F_827	8	8	8
F_828	8	8	8
F_829	4	4	4
F_830	8	8	8
F_831	8	8	8
F_832	8	8	8
F_833	4	4	4
F_834	4	4	4
F_835	8	8	8
F_836	8	8	8
F_837	4	4	4
F_838	8	8	8
F_839	4	4	4
F_840	8	8	8
F_841	8	8	8
F_842	4	4	4
F_843	4	4	4
F_844	8	8	8
F_845	8	8	8
F_846	4	4	4
F_847	4	4	4
F_848	8	8	8
F_849	8	8	8
F_850	4	4	4
F_851	4	4	4
F_852	8	8	8
F_853	8	8	8
F_854	4	4	4
F_855	4	4	4
F_856	8	8	8
F_857	4	4	4
F_858	8	8	8
F_859	4	4	4
F_860	8	8	8
F_861	8	8	8
F_862	4	4	4
F_863	4	4	4
F_864	8	8	8
F_865	8	8	8
F_866	4	4	4
F_867	16	16	16
F_868	6	6	6
F_869	12	12	12
F_870	12	12	12
F_871	12	12	12
F_872	12	12	12
F_873	12	12	12
F_874	12	12	12
F_875	12	12	12
F_876	12	12	12
F_877	12	12	12
F_878	12	12	12
F_879	8	8	8
F_880	8	8	8
F_881	8	8	8
F_882	8	8	8
F_883	12	12	12
F_884	12	12	12
F_885	12	12	12
F_886	12	12	12
F_887	12	12	12
F_888	12	12	12
F_889	6	6	6
F_890	6	6	6
F_891	12	12	12
F_892	12	12	12
F_893	12	12	12
F_894	12	12	12
F_895	12	12	12
F_896	12	12	12
F_897	12	12	12
F_898	12	12	12
F_899	12	12	12
F_900	12	12	12
F_901	12	12	12
F_902	12	12	12
F_903	12	12	12
F_904	12	12	12
F_905	12	12	12
F_906	12	12	12
F_907	12	12	12
F_908	12	12	12
F_909	12	12	12
F_910	12	12	12
F_911	12	12	12
F_912	12	12	12
F_913	12	12	12
F_914	12	12	12
F_915	12	12	12
F_916	12	12	12
F_917	12	12	12
F_918	12	12	12
F_919	12	12	12
F_920	12	12	12
F_921	4	4	4
F_922	8	8	8
F_923	8	8	8
F_924	8	8	8
F_925	4	4	4
F_926	12	12	12
F_927	12	12	12
F_928	4	4	4
F_929	8	8	8
F_930	4	4	4
F_931	12	12	12
F_932	12	12	12
F_933	8	8	24
F_934	8	8	48
F_935	8	8	48
F_936	8	8	24
F_937	24	24	144
F_938	24	24	72
F_939	4	4	4
F_940	4	4	8
F_941	4	4	4
F_942	12	12	12
F_943	12	12	24
F_944	12	12	12
F_945	8	8	8
F_946	8	8	8
F_947	4	4	4
F_948	8	8	8
F_949	4	4	4
F_950	4	4	4
F_951	8	8	8
F_952	4	4	4
F_953	4	4	4
F_954	8	8	8
F_955	8	8	8
F_956	8	8	8
F_957	8	8	8
F_958	8	8	8
F_959	8	8	8
F_960	8	8	8
F_961	8	8	8
F_962	8	8	8
F_963	8	8	8
F_964	8	8	8
F_965	8	8	8
F_966	8	8	8
F_967	8	8	8
F_968	8	8	8
F_969	8	8	8
F_970	8	8	8
F_971	8	8	8
F_972	8	8	8
F_973	8	8	8
F_974	8	8	8
F_975	8	8	8
F_976	8	8	8
F_977	8	8	8
F_978	8	8	8
F_979	8	8	8
F_980	8	8	8
F_981	16	16	48
F_982	8	8	24
F_983	16	16	16
F_984	16	16	16
F_985	16	16	16
F_986	16	16	16
F_987	4	4	4
F_988	4	4	4
F_989	8	8	8
F_990	8	8	8
F_991	12	12	12
F_992	2	2	2
F_993	6	6	6
F_994	4	4	4
F_995	4	4	4
F_996	12	12	12
F_997	4	4	4
F_998	4	4	4
F_999	4	4	4
F_1000	8	8	8
F_1001	4	4	4
F_1002	8	8	8
F_1003	4	4	4
F_1004	4	4	4
F_1005	4	4	4
F_1006	8	8	8
F_1007	8	8	8
F_1008	4	4	4
F_1009	4	4	4
F_1010	8	8	8
F_1011	8	8	8
F_1012	8	8	8
F_1013	8	8	8
F_1014	4	4	4
F_1015	4	4	4
F_1016	8	8	8
F_1017	8	8	8
F_1018	4	4	4
F_1019	4	4	4
F_1020	8	8	8
F_1021	8	8	8
F_1022	4	4	4
F_1023	8	8	8
F_1024	4	4	4
F_1025	8	8	8
F_1026	4	4	4
F_1027	4	4	4
F_1028	8	8	8
F_1029	8	8	8
F_1030	4	4	4
F_1031	4	4	4
F_1032	8	8	8
F_1033	8	8	8
F_1034	4	4	4
F_1035	8	8	8
F_1036	4	4	4
F_1037	8	8	8
F_1038	8	8	8
F_1039	8	8	8
F_1040	8	8	8
F_1041	8	8	8
F_1042	8	8	8
F_1043	8	8	8
F_1044	8	8	8
F_1045	8	8	8
F_1046	8	8	8
F_1047	8	8	8
F_1048	8	8	8
F_1049	8	8	8
F_1050	8	8	8
F_1051	8	8	8
F_1052	8	8	8
F_1053	8	8	8
F_1054	8	8	8
F_1055	8	8	8
F_1056	8	8	8
F_1057	8	8	8
F_1058	8	8	8
F_1059	8	8	8
F_1060	16	16	16
F_1061	16	16	16
F_1062	8	8	8
F_1063	8	8	8
F_1064	8	8	8
F_1065	8	8	8
F_1066	16	16	16
F_1067	16	16	16
F_1068	16	16	16
F_1069	16	16	16
F_1070	16	16	16
F_1071	16	16	16
F_1072	8	8	8
F_1073	16	16	16
F_1074	8	8	8
F_1075	8	8	8
F_1076	16	16	16
F_1077	8	8	24
F_1078	16	16	48
F_1079	8	8	8
F_1080	16	16	16
F_1081	16	16	48
F_1082	4	4	4
F_1083	8	8	8
F_1084	4	4	4
F_1085	8	8	8
F_1086	4	4	4
F_1087	8	8	8
F_1088	4	4	4
F_1089	8	8	8
F_1090	8	8	8
F_1091	8	8	24
F_1092	8	8	8
F_1093	4	4	4
F_1094	4	4	4
F_1095	4	4	4
F_1096	4	4	4
F_1097	16	16	16
F_1098	16	16	16
F_1099	8	8	8
F_1100	8	8	8
F_1101	8	8	8
F_1102	8	8	8
F_1103	8	8	8
F_1104	4	4	4
F_1105	8	8	8
F_1106	8	8	8
F_1107	8	8	8
F_1108	4	4	4
F_1109	8	8	8
F_1110	8	8	8
F_1111	8	8	8
F_1112	8	8	8
F_1113	4	4	4
F_1114	8	8	8
F_1115	8	8	8
F_1116	8	8	24
F_1117	16	16	48
F_1118	4	4	4
F_1119	8	8	8
F_1120	8	8	8
F_1121	8	8	8
F_1122	4	4	4
F_1123	8	8	8
F_1124	8	8	8
F_1125	8	8	8
F_1126	16	16	16
F_1127	8	8	8
F_1128	16	16	16
F_1129	8	8	8
F_1130	8	8	8
F_1131	8	8	8
F_1132	16	16	16
F_1133	16	16	16
F_1134	8	8	8
F_1135	8	8	8
F_1136	8	8	8
F_1137	16	16	16
F_1138	16	16	16
F_1139	16	16	48
F_1140	8	8	24
F_1141	8	8	8
F_1142	8	8	8
F_1143	4	4	4
F_1144	8	8	8
F_1145	4	4	4
F_1146	8	8	8
F_1147	2	2	2
F_1148	6	6	6
F_1149	4	4	4
F_1150	4	4	4
F_1151	8	8	8
F_1152	8	8	8
F_1153	4	4	4
F_1154	4	4	4
F_1155	8	8	8
F_1156	4	4	4
F_1157	4	4	4
F_1158	4	4	4
F_1159	8	8	8
F_1160	8	8	8
F_1161	4	4	4
F_1162	8	8	8
F_1163	4	4	4
F_1164	8	8	8
F_1165	4	4	4
F_1166	4	4	4
F_1167	8	8	8
F_1168	8	8	8
F_1169	4	4	4
F_1170	4	4	4
F_1171	8	8	8
F_1172	8	8	8
F_1173	8	8	8
F_1174	16	16	16
F_1175	4	4	4
F_1176	8	8	8
F_1177	4	4	4
F_1178	8	8	8
F_1179	8	8	8
F_1180	8	8	8
F_1181	8	8	8
F_1182	8	8	8
F_1183	8	8	8
F_1184	8	8	8
F_1185	8	8	8
F_1186	8	8	8
F_1187	8	8	8
F_1188	8	8	8
F_1189	8	8	8
F_1190	8	8	8
F_1191	8	8	8
F_1192	8	8	8
F_1193	8	8	8
F_1194	8	8	8
F_1195	8	8	8
F_1196	16	16	16
F_1197	8	8	8
F_1198	16	16	16
F_1199	4	4	4
F_1200	8	8	8
F_1201	4	4	4
F_1202	8	8	8
F_1203	8	8	8
F_1204	8	8	8
F_1205	4	4	4
F_1206	4	4	4
F_1207	8	8	24
F_1208	16	16	48
F_1209	16	16	48
F_1210	8	8	24
F_1211	4	4	4
F_1212	8	8	8
F_1213	4	4	4
F_1214	4	4	4
F_1215	8	8	8
F_1216	4	4	4
F_1217	8	8	8
F_1218	8	8	8
F_1219	8	8	8
F_1220	8	8	8
F_1221	8	8	8
F_1222	4	4	4
F_1223	8	8	8
F_1224	8	8	8
F_1225	8	8	8
F_1226	8	8	8
F_1227	4	4	4
F_1228	8	8	24
F_1229	8	8	8
F_1230	8	8	8
F_1231	8	8	24
F_1232	8	8	8
F_1233	4	4	4
F_1234	4	4	4
F_1235	8	8	8
F_1236	8	8	8
F_1237	4	4	4
F_1238	4	4	4
F_1239	8	8	8
F_1240	8	8	8
F_1241	8	8	8
F_1242	8	8	8
F_1243	4	4	4
F_1244	8	8	8
F_1245	8	8	8
F_1246	8	8	8
F_1247	4	4	4
F_1248	8	8	8
F_1249	8	8	8
F_1250	8	8	8
F_1251	8	8	8
F_1252	4	4	4
F_1253	8	8	8
F_1254	8	8	8
F_1255	4	4	4
F_1256	4	4	4
F_1257	4	4	4
F_1258	12	12	12
F_1259	4	4	4
F_1260	4	4	4
F_1261	12	12	12
F_1262	2	2	2
F_1263	4	4	4
F_1264	6	6	6
F_1265	4	4	4
F_1266	8	8	8
F_1267	8	8	8
F_1268	12	12	12
F_1269	12	12	12
F_1270	4	4	4
F_1271	4	4	4
F_1272	8	8	8
F_1273	8	8	8
F_1274	12	12	12
F_1275	12	12	12
F_1276	6	6	6
F_1277	8	8	8
F_1278	8	8	8
F_1279	8	8	8
F_1280	4	4	4
F_1281	4	4	4
F_1282	4	4	4
F_1283	8	8	8
F_1284	4	4	4
F_1285	4	4	4
F_1286	8	8	8
F_1287	8	8	8
F_1288	8	8	8
F_1289	12	12	12
F_1290	12	12	12
F_1291	12	12	12
F_1292	12	12	12
F_1293	12	12	12
F_1294	12	12	12
F_1295	6	6	6
F_1296	6	6	6
F_1297	6	6	6
F_1298	12	12	12
F_1299	12	12	12
F_1300	12	12	12
F_1301	12	12	12
F_1302	12	12	12
F_1303	12	12	12
F_1304	12	12	12
F_1305	12	12	12
F_1306	8	8	8
F_1307	16	16	16
F_1308	8	8	8
F_1309	24	24	24
F_1310	8	8	24
F_1311	16	16	48
F_1312	16	16	48
F_1313	8	8	24
F_1314	24	24	72
F_1315	4	4	4
F_1316	8	8	8
F_1317	12	12	12
F_1318	4	4	4
F_1319	8	8	8
F_1320	12	12	12
F_1321	2	2	2
F_1322	6	6	6
F_1323	4	4	4
F_1324	4	4	4
F_1325	8	8	8
F_1326	8	8	8
F_1327	12	12	12
F_1328	12	12	12
F_1329	6	6	6
F_1330	8	8	8
F_1331	16	16	16
F_1332	4	4	4
F_1333	8	8	8
F_1334	4	4	4
F_1335	8	8	8
F_1336	12	12	12
F_1337	12	12	12
F_1338	12	12	12
F_1339	12	12	12
F_1340	6	6	6
F_1341	6	6	6
F_1342	24	24	24
F_1343	8	8	8
F_1344	16	16	16
F_1345	8	8	8
F_1346	24	24	24
F_1347	4	4	4
F_1348	8	8	8
F_1349	4	4	4
F_1350	12	12	12
F_1351	12	12	12
F_1352	8	8	8
F_1353	16	16	16
F_1354	4	4	4
F_1355	8	8	8
F_1356	8	8	8
F_1357	4	4	4
F_1358	12	12	12
F_1359	24	24	24
F_1360	12	12	12
F_1361	8	8	24
F_1362	16	16	48
F_1363	16	16	48
F_1364	8	8	24
F_1365	24	24	72
F_1366	4	4	4
F_1367	8	8	8
F_1368	4	4	4
F_1369	12	12	12
F_1370	12	12	12
F_1371	4	4	4
F_1372	8	8	8
F_1373	4	4	4
F_1374	12	12	12
F_1375	12	12	12
F_1376	8	8	8
F_1377	8	8	8
F_1378	8	8	8
F_1379	8	8	8
F_1380	8	8	8
F_1381	8	8	8
F_1382	8	8	8
F_1383	4	4	4
F_1384	8	8	8
F_1385	8	8	8
F_1386	8	8	8
F_1387	8	8	8
F_1388	8	8	8
F_1389	8	8	8
F_1390	8	8	8
F_1391	8	8	8
F_1392	4	4	4
F_1393	8	8	8
F_1394	8	8	8
F_1395	8	8	8
F_1396	8	8	8
F_1397	8	8	8
F_1398	8	8	8
F_1399	8	8	8
F_1400	8	8	8
F_1401	8	8	8
F_1402	8	8	8
F_1403	4	4	4
F_1404	8	8	8
F_1405	8	8	8
F_1406	8	8	8
F_1407	8	8	8
F_1408	8	8	8
F_1409	4	4	4
F_1410	8	8	8
F_1411	8	8	8
F_1412	8	8	8
F_1413	8	8	8
F_1414	4	4	4
F_1415	8	8	8
F_1416	8	8	8
F_1417	8	8	8
F_1418	4	4	4
F_1419	8	8	8
F_1420	8	8	8
F_1421	8	8	8
F_1422	4	4	4
F_1423	8	8	8
F_1424	8	8	8
F_1425	8	8	8
F_1426	8	8	24
F_1427	8	8	24
F_1428	8	8	8
F_1429	8	8	8
F_1430	12	12	12
F_1431	8	8	8
F_1432	8	8	8
F_1433	8	8	8
F_1434	4	4	4
F_1435	8	8	8
F_1436	8	8	8
F_1437	4	4	4
F_1438	8	8	8
F_1439	8	8	8
F_1440	8	8	8
F_1441	8	8	8
F_1442	4	4	4
F_1443	8	8	8
F_1444	8	8	8
F_1445	8	8	8
F_1446	8	8	8
F_1447	8	8	8
F_1448	8	8	8
F_1449	8	8	8
F_1450	8	8	8
F_1451	4	4	4
F_1452	4	4	4
F_1453	8	8	8
F_1454	8	8	8
F_1455	8	8	8
F_1456	24	24	24
F_1457	4	4	4
F_1458	8	8	8
F_1459	8	8	8
F_1460	8	8	8
F_1461	12	12	12
F_1462	24	24	24
F_1463	8	8	8
F_1464	4	4	4
F_1465	8	8	8
F_1466	8	8	8
F_1467	24	24	24
F_1468	12	12	12
F_1469	8	8	8
F_1470	8	8	8
F_1471	24	24	24
F_1472	4	4	4
F_1473	8	8	8
F_1474	12	12	12
F_1475	8	8	8
F_1476	8	8	8
F_1477	4	4	4
F_1478	8	8	8
F_1479	8	8	8
F_1480	8	8	8
F_1481	8	8	8
F_1482	4	4	4
F_1483	8	8	8
F_1484	8	8	8
F_1485	8	8	8
F_1486	8	8	8
F_1487	4	4	4
F_1488	8	8	8
F_1489	8	8	8
F_1490	8	8	8
F_1491	8	8	8
F_1492	8	8	8
F_1493	8	8	8
F_1494	8	8	8
F_1495	8	8	8
F_1496	8	8	8
F_1497	8	8	8
F_1498	8	8	8
F_1499	8	8	8
F_1500	8	8	8
F_1501	4	4	4
F_1502	8	8	8
F_1503	4	4	4
F_1504	8	8	8
F_1505	4	4	4
F_1506	4	4	4
F_1507	8	8	8
F_1508	8	8	8
F_1509	8	8	8
F_1510	8	8	8
F_1511	4	4	4
F_1512	4	4	4
F_1513	8	8	8
F_1514	8	8	8
F_1515	8	8	8
F_1516	8	8	8
F_1517	8	8	8
F_1518	8	8	8
F_1519	8	8	8
F_1520	8	8	8
F_1521	8	8	8
F_1522	8	8	8
F_1523	8	8	8
F_1524	8	8	8
F_1525	8	8	8
F_1526	8	8	8
F_1527	8	8	8
F_1528	8	8	8
F_1529	8	8	8
F_1530	8	8	8
F_1531	8	8	8
F_1532	8	8	8
F_1533	8	8	8
F_1534	8	8	8
F_1535	24	24	24
F_1536	24	24	24
F_1537	24	24	24
F_1538	24	24	24
F_1539	8	8	8
F_1540	8	8	8
F_1541	6	6	6
F_1542	12	12	12
F_1543	6	6	6
F_1544	12	12	12
F_1545	16	16	48
F_1546	16	16	48
F_1547	6	6	6
F_1548	6	6	6
F_1549	6	6	6
F_1550	6	6	6
F_1551	6	6	6
F_1552	12	12	12
F_1553	6	6	6
F_1554	12	12	12
F_1555	6	6	6
F_1556	12	12	12
F_1557	6	6	6
F_1558	12	12	12
F_1559	12	12	12
F_1560	6	6	6
F_1561	6	6	6
F_1562	6	6	6
F_1563	6	6	6
F_1564	12	12	12
F_1565	12	12	12
F_1566	6	6	6
F_1567	6	6	6
F_1568	12	12	12
F_1569	12	12	12
F_1570	6	6	6
F_1571	6	6	6
F_1572	6	6	6
F_1573	6	6	6
F_1574	6	6	6
F_1575	6	6	6
F_1576	6	6	6
F_1577	6	6	6
F_1578	6	6	6
F_1579	12	12	12
F_1580	6	6	6
F_1581	12	12	12
F_1582	6	6	6
F_1583	12	12	12
F_1584	6	6	6
F_1585	12	12	12
F_1586	6	6	6
F_1587	6	6	6
F_1588	6	6	6
F_1589	6	6	6
F_1590	6	6	6
F_1591	6	6	6
F_1592	12	12	12
F_1593	12	12	12
F_1594	6	6	6
F_1595	12	12	12
F_1596	6	6	6
F_1597	12	12	12
F_1598	12	12	12
F_1599	8	8	48
F_1600	16	16	48
F_1601	8	8	8
F_1602	8	8	8
F_1603	8	8	8
F_1604	8	8	8
F_1605	8	8	8
F_1606	8	8	8
F_1607	8	8	8
F_1608	8	8	8
F_1609	8	8	8
F_1610	8	8	8
F_1611	8	8	8
F_1612	4	4	4
F_1613	8	8	8
F_1614	4	4	4
F_1615	8	8	8
F_1616	8	8	8
F_1617	4	4	4
F_1618	4	4	4
F_1619	8	8	8
F_1620	8	8	8
F_1621	8	8	8
F_1622	4	4	4
F_1623	4	4	4
F_1624	8	8	8
F_1625	8	8	8
F_1626	8	8	8
F_1627	8	8	8
F_1628	8	8	8
F_1629	8	8	8
F_1630	8	8	8
F_1631	8	8	8
F_1632	8	8	8
F_1633	8	8	8
F_1634	8	8	8
F_1635	8	8	8
F_1636	8	8	8
F_1637	8	8	8
F_1638	8	8	8
F_1639	8	8	8
F_1640	8	8	8
F_1641	8	8	8
F_1642	8	8	8
F_1643	8	8	8
F_1644	8	8	8
F_1645	8	8	8
F_1646	8	8	8
F_1647	8	8	8
F_1648	8	8	8
F_1649	8	8	8
F_1650	8	8	8
F_1651	8	8	8
F_1652	8	8	8
F_1653	8	8	8
F_1654	4	4	4
F_1655	8	8	8
F_1656	8	8	8
F_1657	8	8	8
F_1658	8	8	8
F_1659	4	4	4
F_1660	8	8	8
F_1661	4	4	4
F_1662	8	8	8
F_1663	8	8	8
F_1664	8	8	8
F_1665	8	8	8
F_1666	8	8	8
F_1667	8	8	8
F_1668	8	8	8
F_1669	8	8	8
F_1670	8	8	8
F_1671	8	8	8
F_1672	8	8	8
F_1673	8	8	8
F_1674	8	8	8
F_1675	8	8	8
F_1676	8	8	8
F_1677	8	8	8
F_1678	8	8	8
F_1679	8	8	8
F_1680	8	8	8
F_1681	8	8	8
F_1682	8	8	8
F_1683	16	16	16
F_1684	16	16	16
F_1685	8	8	8
F_1686	8	8	8
F_1687	8	8	8
F_1688	4	4	4
F_1689	8	8	8
F_1690	4	4	4
F_1691	4	4	4
F_1692	8	8	8
F_1693	8	8	8
F_1694	8	8	8
F_1695	8	8	8
F_1696	8	8	8
F_1697	4	4	4
F_1698	4	4	4
F_1699	8	8	8
F_1700	8	8	8
F_1701	8	8	8
F_1702	8	8	8
F_1703	8	8	8
F_1704	8	8	8
F_1705	8	8	8
F_1706	8	8	8
F_1707	8	8	8
F_1708	8	8	8
F_1709	8	8	8
F_1710	8	8	8
F_1711	8	8	8
F_1712	8	8	8
F_1713	8	8	8
F_1714	8	8	8
F_1715	8	8	8
F_1716	8	8	8
F_1717	8	8	8
F_1718	16	16	16
F_1719	16	16	16
F_1720	8	8	8
F_1721	8	8	8
F_1722	8	8	8
F_1723	8	8	8
F_1724	16	16	16
F_1725	16	16	16
F_1726	16	16	16
F_1727	8	8	8
F_1728	8	8	8
F_1729	8	8	8
F_1730	8	8	8
F_1731	8	8	8
F_1732	8	8	8
F_1733	8	8	8
F_1734	8	8	8
F_1735	8	8	8
F_1736	8	8	8
F_1737	8	8	8
F_1738	8	8	8
F_1739	16	16	48
F_1740	16	16	48
F_1741	16	16	48
F_1742	16	16	48
F_1743	8	8	8
F_1744	8	8	8
F_1745	8	8	8
F_1746	16	16	16
F_1747	16	16	16
F_1748	8	8	8
F_1749	8	8	8
F_1750	4	4	4
F_1751	4	4	4
F_1752	4	4	4
F_1753	8	8	8
F_1754	4	4	4
F_1755	8	8	8
F_1756	8	8	8
F_1757	8	8	8
F_1758	8	8	8
F_1759	8	8	8
F_1760	8	8	8
F_1761	8	8	8
F_1762	8	8	8
F_1763	8	8	8
F_1764	8	8	8
F_1765	8	8	8
F_1766	8	8	8
F_1767	8	8	8
F_1768	8	8	8
F_1769	8	8	8
F_1770	8	8	8
F_1771	8	8	8
F_1772	8	8	8
F_1773	8	8	8
F_1774	8	8	8
F_1775	8	8	8
F_1776	4	4	4
F_1777	12	12	12
F_1778	2	2	2
F_1779	6	6	6
F_1780	4	4	4
F_1781	8	8	8
F_1782	8	8	8
F_1783	4	4	4
F_1784	4	4	4
F_1785	8	8	8
F_1786	8	8	8
F_1787	4	4	4
F_1788	8	8	8
F_1789	8	8	8
F_1790	4	4	4
F_1791	4	4	4
F_1792	8	8	8
F_1793	8	8	8
F_1794	4	4	4
F_1795	8	8	8
F_1796	4	4	4
F_1797	4	4	4
F_1798	8	8	8
F_1799	8	8	8
F_1800	4	4	4
F_1801	16	16	16
F_1802	16	16	16
F_1803	8	8	8
F_1804	16	16	16
F_1805	8	8	8
F_1806	8	8	8
F_1807	16	16	16
F_1808	16	16	48
F_1809	8	8	48
F_1810	8	8	8
F_1811	16	16	16
F_1812	8	8	48
F_1813	4	4	4
F_1814	8	8	8
F_1815	8	8	8
F_1816	4	4	8
F_1817	8	8	8
F_1818	8	8	8
F_1819	8	8	8
F_1820	8	8	8
F_1821	8	8	8
F_1822	16	16	48
F_1823	8	8	8
F_1824	4	4	4
F_1825	8	8	8
F_1826	8	8	8
F_1827	8	8	8
F_1828	8	8	8
F_1829	4	4	4
F_1830	8	8	8
F_1831	8	8	8
F_1832	8	8	8
F_1833	4	4	4
F_1834	8	8	8
F_1835	8	8	8
F_1836	8	8	8
F_1837	4	4	4
F_1838	8	8	8
F_1839	8	8	8
F_1840	8	8	8
F_1841	8	8	8
F_1842	8	8	8
F_1843	8	8	8
F_1844	8	8	8
F_1845	8	8	8
F_1846	8	8	8
F_1847	8	8	8
F_1848	8	8	8
F_1849	8	8	8
F_1850	8	8	8
F_1851	8	8	8
F_1852	16	16	48
F_1853	16	16	48
F_1854	16	16	48
F_1855	16	16	48
F_1856	8	8	8
F_1857	8	8	8
F_1858	8	8	8
F_1859	8	8	8
F_1860	4	4	4
F_1861	8	8	8
F_1862	4	4	4
F_1863	8	8	8
F_1864	8	8	8
F_1865	8	8	8
F_1866	8	8	8
F_1867	8	8	8
F_1868	4	4	4
F_1869	8	8	8
F_1870	8	8	8
F_1871	8	8	8
F_1872	4	4	4
F_1873	4	4	4
F_1874	8	8	8
F_1875	8	8	8
F_1876	8	8	8
F_1877	16	16	16
F_1878	16	16	16
F_1879	8	8	8
F_1880	8	8	8
F_1881	4	4	4
F_1882	8	8	8
F_1883	4	4	4
F_1884	4	4	4
F_1885	8	8	8
F_1886	8	8	8
F_1887	8	8	8
F_1888	8	8	8
F_1889	8	8	8
F_1890	8	8	8
F_1891	16	16	16
F_1892	8	8	8
F_1893	8	8	8
F_1894	8	8	8
F_1895	8	8	8
F_1896	16	16	16
F_1897	16	16	16
F_1898	16	16	16
F_1899	16	16	16
F_1900	8	8	8
F_1901	8	8	8
F_1902	8	8	8
F_1903	8	8	8
F_1904	16	16	16
F_1905	16	16	16
F_1906	8	8	8
F_1907	8	8	8
F_1908	16	16	48
F_1909	16	16	48
F_1910	16	16	48
F_1911	16	16	48
F_1912	8	8	8
F_1913	8	8	8
F_1914	8	8	8
F_1915	8	8	8
F_1916	8	8	8
F_1917	8	8	8
F_1918	8	8	8
F_1919	16	16	16
F_1920	16	16	16
F_1921	8	8	8
F_1922	8	8	8
F_1923	8	8	8
F_1924	16	16	16
F_1925	16	16	16
F_1926	12	12	12
F_1927	16	16	16
F_1928	16	16	16
F_1929	16	16	16
F_1930	16	16	48
F_1931	16	16	48
F_1932	16	16	48
F_1933	16	16	48
F_1934	8	8	8
F_1935	8	8	8
F_1936	8	8	8
F_1937	8	8	8
F_1938	4	4	4
F_1939	8	8	8
F_1940	4	4	4
F_1941	16	16	16
F_1942	16	16	16
F_1943	12	12	12
F_1944	8	8	8
F_1945	8	8	8
F_1946	4	4	4
F_1947	12	12	12
F_1948	16	16	16
F_1949	16	16	16
F_1950	16	16	16
F_1951	16	16	16
F_1952	8	8	8
F_1953	8	8	8
F_1954	8	8	8
F_1955	16	16	16
F_1956	16	16	16
F_1957	8	8	8
F_1958	8	8	8
F_1959	16	16	16
F_1960	8	8	8
F_1961	16	16	48
F_1962	16	16	48
F_1963	16	16	48
F_1964	16	16	48
F_1965	8	8	8
F_1966	8	8	8
F_1967	8	8	8
F_1968	8	8	8
F_1969	8	8	8
F_1970	8	8	8
F_1971	16	16	16
F_1972	8	8	8
F_1973	16	16	16
F_1974	8	8	8
F_1975	4	4	4
F_1976	16	16	16
F_1977	16	16	16
F_1978	8	8	8
F_1979	8	8	8
F_1980	16	16	16
