Q	#up	#dn	#all
E_201	8	8	8
E_202	8	8	8
E_203	4	4	4
E_204	8	8	8
E_205	8	8	8
E_206	4	4	4
E_207	4	4	4
E_208	4	4	4
E_209	8	8	8
E_210	2	2	2
E_211	4	4	4
E_212	4	4	4
E_213	4	4	4
E_214	4	4	4
E_215	4	4	4
E_216	4	4	4
E_217	4	4	4
E_218	8	8	8
E_219	8	8	8
E_220	4	4	4
E_221	8	8	8
E_222	4	4	4
E_223	8	8	8
E_224	8	8	8
E_225	4	4	4
E_226	8	8	8
E_227	8	8	8
E_228	8	8	8
E_229	4	4	4
E_230	4	4	4
E_231	8	8	8
E_232	8	8	8
E_233	8	8	8
E_234	8	8	8
E_235	4	4	4
E_236	4	4	4
E_237	4	4	4
E_238	8	8	8
E_239	8	8	8
E_240	8	8	8
E_241	8	8	8
E_242	8	8	8
E_243	8	8	8
E_244	8	8	8
E_245	8	8	8
E_246	8	8	8
E_247	8	8	8
E_248	8	8	8
E_249	8	8	8
E_250	16	16	16
E_251	16	16	16
E_252	8	8	24
E_253	8	8	48
E_254	4	4	4
E_255	4	4	8
E_256	4	4	4
E_257	8	8	8
E_258	4	4	4
E_259	8	8	8
E_260	8	8	8
E_261	8	8	8
E_262	8	8	48
E_263	4	4	4
E_264	8	8	8
E_265	4	4	4
E_266	2	2	2
E_267	4	4	4
E_268	4	4	4
E_269	8	8	8
E_270	8	8	8
E_271	4	4	4
E_272	4	4	4
E_273	8	8	8
E_274	8	8	8
E_275	4	4	4
E_276	8	8	8
E_277	8	8	8
E_278	4	4	4
E_279	8	8	8
E_280	8	8	8
E_281	4	4	4
E_282	8	8	8
E_283	8	8	8
E_284	16	16	16
E_285	8	8	24
E_286	4	4	4
E_287	4	4	4
E_288	4	4	4
E_289	8	8	8
E_290	8	8	8
E_291	8	8	8
E_292	8	8	8
E_293	4	4	4
E_294	4	4	4
E_295	2	2	2
E_296	6	6	6
E_297	4	4	4
E_298	4	4	4
E_299	4	4	4
E_300	8	8	8
E_301	4	4	4
E_302	8	8	8
E_303	4	4	4
E_304	4	4	4
E_305	4	4	4
E_306	8	8	8
E_307	8	8	24
E_308	8	8	8
E_309	8	8	8
E_310	4	4	4
E_311	4	4	4
E_312	4	4	4
E_313	4	4	4
E_314	16	16	16
E_315	16	16	16
E_316	8	8	8
E_317	8	8	8
E_318	8	8	8
E_319	8	8	8
E_320	4	4	4
E_321	8	8	8
E_322	8	8	8
E_323	4	4	4
E_324	8	8	8
E_325	4	4	4
E_326	8	8	24
E_327	16	16	48
E_328	4	4	4
E_329	8	8	8
E_330	8	8	8
E_331	8	8	8
E_332	4	4	4
E_333	8	8	8
E_334	8	8	8
E_335	8	8	8
E_336	16	16	48
E_337	8	8	24
E_338	8	8	8
E_339	8	8	8
E_340	4	4	4
E_341	8	8	8
E_342	4	4	4
E_343	8	8	8
E_344	2	2	2
E_345	6	6	6
E_346	4	4	4
E_347	4	4	4
E_348	8	8	8
E_349	8	8	8
E_350	8	8	8
E_351	16	16	16
E_352	4	4	4
E_353	8	8	8
E_354	4	4	4
E_355	8	8	8
E_356	8	8	8
E_357	16	16	16
E_358	8	8	8
E_359	16	16	16
E_360	4	4	4
E_361	8	8	8
E_362	4	4	4
E_363	8	8	8
E_364	8	8	8
E_365	8	8	8
E_366	4	4	4
E_367	4	4	4
E_368	8	8	24
E_369	16	16	48
E_370	16	16	48
E_371	8	8	24
E_372	4	4	4
E_373	8	8	8
E_374	4	4	4
E_375	4	4	4
E_376	8	8	8
E_377	4	4	4
E_378	8	8	8
E_379	4	4	4
E_380	8	8	8
E_381	8	8	8
E_382	8	8	8
E_383	8	8	8
E_384	4	4	4
E_385	8	8	24
E_386	8	8	8
E_387	8	8	8
E_388	8	8	24
E_389	8	8	8
E_390	4	4	4
E_391	4	4	4
E_392	8	8	8
E_393	8	8	8
E_394	4	4	4
E_395	4	4	4
E_396	8	8	8
E_397	8	8	8
E_398	8	8	8
E_399	8	8	8
E_400	4	4	4
E_401	8	8	8
E_402	8	8	8
E_403	8	8	8
E_404	4	4	4
E_405	8	8	8
E_406	8	8	8
E_407	8	8	8
E_408	8	8	8
E_409	4	4	4
E_410	8	8	8
E_411	8	8	8
E_412	4	4	4
E_413	6	6	6
E_414	6	6	6
E_415	16	16	48
E_416	16	16	48
E_417	6	6	6
E_418	6	6	6
E_419	6	6	6
E_420	6	6	6
E_421	6	6	6
E_422	6	6	6
E_423	6	6	6
E_424	6	6	6
E_425	6	6	6
E_426	6	6	6
E_427	6	6	6
E_428	6	6	6
E_429	6	6	6
E_430	6	6	6
E_431	6	6	6
E_432	6	6	6
E_433	16	16	48
E_434	6	6	6
E_435	6	6	6
E_436	6	6	6
E_437	6	6	6
E_438	6	6	6
E_439	6	6	6
E_440	5	5	5
E_441	16	16	48
E_442	8	8	48
E_443	16	16	48
E_444	8	8	48
E_445	16	16	48
E_446	16	16	48
E_447	16	16	48
E_448	6	6	6
E_449	6	6	6
E_450	6	6	6
E_451	6	6	6
E_452	6	6	6
E_453	6	6	6
E_454	6	6	6
E_455	6	6	6
E_456	6	6	6
E_457	6	6	6
E_458	6	6	6
E_459	6	6	6
E_460	5	5	5
E_461	5	5	5
E_462	5	5	5
E_463	5	5	5
E_464	8	8	8
E_465	8	8	8
E_466	8	8	8
E_467	16	16	16
E_468	8	8	8
E_469	8	8	8
E_470	8	8	8
E_471	16	16	16
E_472	8	8	8
E_473	16	16	16
E_474	8	8	8
E_475	8	8	8
E_476	8	8	8
E_477	8	8	8
E_478	8	8	8
E_479	4	4	4
E_480	8	8	8
E_481	4	4	4
E_482	8	8	8
E_483	16	16	16
E_484	8	8	8
E_485	8	8	8
E_486	8	8	8
E_487	4	4	4
E_488	8	8	8
E_489	8	8	8
E_490	8	8	8
E_491	8	8	8
E_492	8	8	8
E_493	4	4	4
E_494	8	8	8
E_495	4	4	4
E_496	4	4	4
E_497	8	8	8
E_498	8	8	8
E_499	8	8	8
E_500	8	8	8
E_501	16	16	48
E_502	16	16	48
E_503	8	8	8
E_504	8	8	8
E_505	8	8	8
E_506	8	8	8
E_507	8	8	8
E_508	8	8	8
E_509	8	8	8
E_510	8	8	8
E_511	16	16	48
E_512	8	8	8
E_513	4	4	4
E_514	4	4	4
E_515	8	8	8
E_516	4	4	4
E_517	4	4	4
E_518	8	8	8
E_519	16	16	48
E_520	8	8	8
E_521	8	8	8
E_522	8	8	8
E_523	4	4	4
E_524	4	4	4
E_525	4	4	4
E_526	4	4	4
E_527	16	16	16
E_528	16	16	48
E_529	16	16	16
E_530	8	8	8
E_531	8	8	8
E_532	8	8	8
E_533	8	8	8
E_534	8	8	8
E_535	8	8	8
E_536	8	8	8
E_537	8	8	8
E_538	8	8	8
E_539	16	16	16
E_540	2	2	2
E_541	8	8	8
E_542	4	4	4
E_543	8	8	8
E_544	8	8	8
E_545	8	8	8
E_546	16	16	16
E_547	8	8	8
E_548	8	8	8
E_549	8	8	8
E_550	8	8	8
E_551	16	16	48
E_552	8	8	48
E_553	8	8	48
E_554	16	16	48
E_555	8	8	8
E_556	4	4	8
E_557	8	8	8
E_558	8	8	8
E_559	8	8	8
E_560	8	8	8
E_561	8	8	8
E_562	16	16	16
E_563	16	16	16
E_564	8	8	8
E_565	4	4	4
E_566	16	16	48
E_567	8	8	8
E_568	8	8	8
E_569	4	4	4
E_570	8	8	8
E_571	8	8	8
E_572	8	8	8
E_573	8	8	8
E_574	4	4	4
E_575	4	4	4
E_576	8	8	8
E_577	8	8	8
E_578	18	18	18
E_579	9	9	9
E_580	9	9	9
E_581	9	9	9
E_582	9	9	9
E_583	9	9	9
E_584	3	3	3
E_585	9	9	9
E_586	3	3	3
E_587	12	12	12
E_588	6	6	6
E_589	24	24	24
E_590	6	6	6
E_591	24	24	24
E_592	24	24	24
E_593	12	12	12
E_594	12	12	12
E_595	18	18	18
F_1	1	1	1
F_2	2	2	2
F_3	3	3	3
F_4	2	2	2
F_5	4	4	4
F_6	6	6	6
F_7	5	5	5
F_8	2	2	2
F_9	4	4	4
F_10	3	3	3
F_11	6	6	6
F_12	2	2	2
F_13	4	4	4
F_14	4	4	4
F_15	6	6	6
F_16	6	6	6
F_17	3	3	3
F_18	3	3	3
F_19	6	6	6
F_20	6	6	6
F_21	2	2	2
F_22	4	4	4
F_23	4	4	4
F_24	4	4	4
F_25	4	4	4
F_26	6	6	6
F_27	6	6	6
F_28	5	5	5
F_29	5	5	5
F_30	5	5	5
F_31	2	2	2
